,Tweets,Case_Folding;;;;;;
"83,""@jogmfs Order shopeefood warmindo elephant nder, aku lgi ngalong disini, kali aja nyantol, mayan bantu tutup poin"",""@jogmfs order shopeefood warmindo elephant nder, aku lgi ngalong disini, kali aja nyantol, mayan bantu tutup poin""";;;;;;
84,@uniquerls @sicutgeulis @shopeefood_id Bakal ada di bulan november / desember kak ditunggu aja,@uniquerls @sicutgeulis @shopeefood_id bakal ada di bulan november / desember kak ditunggu aja;;;;;;
"85,""ada voucher shopeefood juga";;;;;;
disc 50% max 18k ;;;;;;
disc 30% max 18k;;;;;;
udah sama vc gratis ongkirnya;;;;;;
fee 5k ya btw soalnya 2 vc yg dipake;;;;;;
vc shopeefood ;;;;;;
"#zonauang #zonajajan #zonaba https://t.co/UPUv5ZNT1G"",""ada voucher shopeefood juga";;;;;;
disc 50% max 18k ;;;;;;
disc 30% max 18k;;;;;;
udah sama vc gratis ongkirnya;;;;;;
fee 5k ya btw soalnya 2 vc yg dipake;;;;;;
vc shopeefood ;;;;;;
"#zonauang #zonajajan #zonaba https://t.co/upuv5znt1g""";;;;;;
"86,""Apaka warung q harus kaya gini? 😂 ";;;;;;
"Udah nebak orderan pake nama cust krna driver pake jas gojek, ternyata dia ambil orderan shopeefood https://t.co/eMQ1D0fn8K"",""apaka warung q harus kaya gini? 😂 ";;;;;;
"udah nebak orderan pake nama cust krna driver pake jas gojek, ternyata dia ambil orderan shopeefood https://t.co/emq1d0fn8k""";;;;;;
"87,""@deakrn_ @sbyfess Ndang dibuka shopeefood e wes awe awe";;;;;;
"Scroll sejam sek trs keturon 👍"",""@deakrn_ @sbyfess ndang dibuka shopeefood e wes awe awe";;;;;;
"scroll sejam sek trs keturon 👍""";;;;;;
"88,""@ShopeeID @ShopeeCare hoee admin, ini kenapa deh kok akun aku tiba tiba dibatasi??? Padahal terakhir cuma pesen shopeefood. Gimanaaa nih bisa balik gaaa????"",""@shopeeid @shopeecare hoee admin, ini kenapa deh kok akun aku tiba tiba dibatasi??? padahal terakhir cuma pesen shopeefood. gimanaaa nih bisa balik gaaa????""";;;;;;
89,@orenjigurin Akhirnya pake shopeefood☺️☺️☺️,@orenjigurin akhirnya pake shopeefood☺️☺️☺️;;;;;;
90,Terimakasih kepada bapak gofood grabfood shopeefood yang selalu menyelamatkan malam hariku rispekkk,terimakasih kepada bapak gofood grabfood shopeefood yang selalu menyelamatkan malam hariku rispekkk;;;;;;
91,Gofood gue drtd magrib ga dapet2 driver. Apa udah beralih ke shopeefood semua ya,gofood gue drtd magrib ga dapet2 driver. apa udah beralih ke shopeefood semua ya;;;;;;
92,@hahh_ai @shopeefood_id Ga pernah punya saldo shpepay😭,@hahh_ai @shopeefood_id ga pernah punya saldo shpepay😭;;;;;;
"93,""#DriverStory ";;;;;;
Iseng2 daftar aplikasi belanja makanan secara online alias #Shopeefood. ;;;;;;
Lupa daftar sejak kapan. Sepertinya waktu daftar merchant #ShopeeFood juga, sejak Juli dan baru dipanggil kmrn 10/10;;;;;;
"Bayar untuk jaket, helm dan tas 450k"",""#driverstory ";;;;;;
iseng2 daftar aplikasi belanja makanan secara online alias #shopeefood. ;;;;;;
lupa daftar sejak kapan. sepertinya waktu daftar merchant #shopeefood juga, sejak juli dan baru dipanggil kmrn 10/10;;;;;;
"bayar untuk jaket, helm dan tas 450k""";;;;;;
"94,""How can it happen, pesen shopeefood dan ternyata drivernya temen sendiri. Untung mesennya bukan buat diri sendiri :)"",""how can it happen, pesen shopeefood dan ternyata drivernya temen sendiri. untung mesennya bukan buat diri sendiri :)""";;;;;;
95,Yang bikin males jajan via shopeefood tuh karena banyak biaya ga terduganya. Belum include uang parkir driver dan tips https://t.co/I4ICO0pKHu,yang bikin males jajan via shopeefood tuh karena banyak biaya ga terduganya. belum include uang parkir driver dan tips https://t.co/i4ico0pkhu;;;;;;
96,@tanyaindeca lagi asik banget yee shopeefood,@tanyaindeca lagi asik banget yee shopeefood;;;;;;
