,Created_At,Tweets,Clean_Data,Tweet_Normal,Tanpa_StopWords,Stemming
483,2021-12-25 13:25:44+00:00,@Bandungfess Ayam serundeng di shopeefood we abi mah nu 20k trus pake voucher discount 60% plus gratis ongkir,ayam serundeng di shopeefood we abi mah nu k trus pake voucher discount plus gratis ongkir,ayam serundeng di shopeefood we abi mah nu ke terus pakai voucher discount plus gratis ongkir,ayam serundeng shopeefood we abi mah nu pakai voucher discount plus gratis ongkir,"['ayam', 'serundeng', 'shopeefood', 'we', 'abi', 'mah', 'nu', 'pakai', 'voucher', 'discount', 'plus', 'gratis', 'ongkir']"
484,2021-12-25 13:19:37+00:00,"@SoloMenfess Kalo pake shopeefood titik antarnya ditentuin langsung (misal, Pom Bensin Manahan).
Jangan ngandelin maps yg udah ada, itu tergantung sinyal.
Sinyal kuat titik pas, sinyal lemah bisa melenceng ratusan meter",kalo pake shopeefood titik antarnya ditentuin langsung misal pom bensin manahan jangan ngandelin maps yg udah ada itu tergantung sinyal sinyal kuat titik pas sinyal lemah bisa melenceng ratusan meter,kalau pakai shopeefood titik antarnya ditentuin langsung misal pom bensin manahan jangan ngandelin maps yang sudah ada itu tergantung sinyal sinyal kuat titik pas sinyal lemah bisa melenceng ratusan meter,pakai shopeefood titik antarnya ditentuin langsung pom bensin manahan ngandelin maps tergantung sinyal sinyal kuat titik pas sinyal lemah melenceng ratusan meter,"['pakai', 'shopeefood', 'titik', 'antar', 'ditentuin', 'langsung', 'pom', 'bensin', 'manah', 'ngandelin', 'maps', 'gantung', 'sinyal', 'sinyal', 'kuat', 'titik', 'pas', 'sinyal', 'lemah', 'lenceng', 'ratus', 'meter']"
485,2021-12-25 13:16:57+00:00,"@pipipipiipii Shopeefood aja dek, dpt kok driver",shopeefood aja dek dpt kok driver,shopeefood aja adik dapat kok driver,shopeefood adik driver,"['shopeefood', 'adik', 'driver']"
486,2021-12-25 13:13:03+00:00,"aku td habis ngitung pengeluaranku di shopee :')
udah include shopee + shopeefood dkk

dan ternyata ASDFGHJKL BOROS BGT YA AKU :')",aku td habis ngitung pengeluaranku di shopee udah include shopee shopeefood dkk dan ternyata asdfghjkl boros bgt ya aku,saya td habis hitung pengeluaranku di shopee sudah include shopee shopeefood dkk dan ternyata asdfghjkl boros begitu ya saya,td habis hitung pengeluaranku shopee include shopee shopeefood dkk asdfghjkl boros,"['td', 'habis', 'hitung', 'keluar', 'shopee', 'include', 'shopee', 'shopeefood', 'dkk', 'asdfghjkl', 'boros']"
487,2021-12-25 13:11:01+00:00,"ud ngbayangin seksinya nasi sapo tahu, malah dikirimnya nasi goreng. ribet pula ngurusnya(disuru tunggu 1-3 hari). shopeefood 👎👎",ud ngbayangin seksinya nasi sapo tahu malah dikirimnya nasi goreng ribet pula ngurusnyadisuru tunggu hari shopeefood,sudah ngbayangin seksinya nasi sapo tahu malah dikirimnya nasi goreng ribet pula ngurusnyadisuru tunggu hari shopeefood,ngbayangin seksinya nasi sapo dikirimnya nasi goreng ribet ngurusnyadisuru tunggu shopeefood,"['ngbayangin', 'seksi', 'nasi', 'sapo', 'kirim', 'nasi', 'goreng', 'ribet', 'ngurusnyadisuru', 'tunggu', 'shopeefood']"
488,2021-12-25 13:07:18+00:00,"Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/8GUnGmgTtp
#CepetanGoFood #ShopeePayDay #ShopeeGiveawayOPPOxASSC #ShopeePromo1212 #Shopee #ShopeeID",share amp makan gratis bareng teman di shopeefood,bagikan amp makan gratis bersama teman di shopeefood,bagikan makan gratis teman shopeefood,"['bagi', 'makan', 'gratis', 'teman', 'shopeefood']"
489,2021-12-25 13:07:00+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/UO2OEgAlCe https://t.co/8E7vuy4m07,share amp makan gratis bareng teman di shopeefood,bagikan amp makan gratis bersama teman di shopeefood,bagikan makan gratis teman shopeefood,"['bagi', 'makan', 'gratis', 'teman', 'shopeefood']"
490,2021-12-25 13:00:08+00:00,Udah di TF ke shopee buat beli barang abisnya malah buat shopeefood,udah di tf ke shopee buat beli barang abisnya malah buat shopeefood,sudah di tf ke shopee buat beli barang habisnya malah buat shopeefood,tf shopee beli barang habisnya shopeefood,"['tf', 'shopee', 'beli', 'barang', 'habis', 'shopeefood']"
491,2021-12-25 12:59:40+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/ruOiPBC6Fa https://t.co/LpKiHRiwbA,share amp makan gratis bareng teman di shopeefood,bagikan amp makan gratis bersama teman di shopeefood,bagikan makan gratis teman shopeefood,"['bagi', 'makan', 'gratis', 'teman', 'shopeefood']"
492,2021-12-25 12:57:04+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/OZ6VcabCRe,share amp makan gratis bareng teman di shopeefood,bagikan amp makan gratis bersama teman di shopeefood,bagikan makan gratis teman shopeefood,"['bagi', 'makan', 'gratis', 'teman', 'shopeefood']"
