Tweets,Case_Folding,Clean_Data,Tweet_Normal;;;;;;
"jangan lupa mention setelah dm yap #zonauang #zonaba #zonabu #zonajajan https://t.co/oyrj8iyxmq"",haii aku jg ada voucher shopeefood nihh fee kk tergantung voucher yg dipakai yaaa yg minat bisa langsung dm yaa jangan lupa mention setelah dm yap,halo saya juga ada voucher shopeefood ini fee kk tergantung voucher yang dipakai yaaa yang minat bisa langsung dm ya jangan lupa mention setelah dm yap";;;;;;
"HAPPY WEEKEND NASABAH LEMAK TERSAYANG ❤️❤️❤️

Biar weekend nya makin enak, mending rebahan di rumah sambil pesen @nasgortiarbah kemayoran 😋😋😋

Gofood ✅
Grabfood ✅
Shopeefood ✅,""happy weekend nasabah lemak tersayang ❤️❤️❤️";;;;;;
;;;;;;
biar weekend nya makin enak, mending rebahan di rumah sambil pesen @nasgortiarbah kemayoran 😋😋😋;;;;;;
;;;;;;
gofood ✅;;;;;;
grabfood ✅;;;;;;
"shopeefood ✅"",happy weekend nasabah lemak tersayang biar weekend nya makin enak mending rebahan di rumah sambil pesen kemayoran gofood grabfood shopeefood,gembira weekend nasabah lemak tersayang biar weekend nya makin enak mending rebahan di rumah sambil pesan kemayoran gofood grabfood shopeefood";;;;;;
"@kalonginsomnia shopeefood aja lebih asik, cman martabak ga jual jam segini disini huhu adanya malem,""@kalonginsomnia shopeefood aja lebih asik, cman martabak ga jual jam segini disini huhu adanya malem"",shopeefood aja lebih asik cman martabak ga jual jam";;;;;;
"hampura neng ieu mah akang can bisa ngalongok bari mawa bengbeng sa dus
top sakintal, komo martabak spesial mah

#ngebid #shopeefood https://t.co/tpkduDeOiv,""hampura neng ieu mah akang can bisa ngalongok bari mawa bengbeng sa dus";;;;;;
top sakintal, komo martabak spesial mah;;;;;;
;;;;;;
"#ngebid #shopeefood https://t.co/tpkdudeoiv"",hampura neng ieu mah akang can bisa ngalongok bari mawa bengbeng sa dus top sakintal komo martabak spesial mah,hampura neng ieu mah akang can bisa ngalongok bari mawa bengbeng sa dus mantap sakintal komo martabak spesial mah";;;;;;
