Tweets,Case_Folding,Data_Cleaning
"haii! aku jg ada voucher shopeefood nihh~
fee 2k-5k (tergantung voucher yg dipakai yaaa)

yg minat bisa langsung dm yaa^^
jangan lupa mention setelah dm yap #zonauang #zonaba #zonaBU #Zonajajan https://t.co/OyRJ8Iyxmq","haii! aku jg ada voucher shopeefood nihh~
fee 2k-5k (tergantung voucher yg dipakai yaaa)

yg minat bisa langsung dm yaa^^
jangan lupa mention setelah dm yap #zonauang #zonaba #zonabu #zonajajan https://t.co/oyrj8iyxmq",haii aku jg ada voucher shopeefood nihh fee kk tergantung voucher yg dipakai yaaa yg minat bisa langsung dm yaa jangan lupa mention setelah dm yap
"HAPPY WEEKEND NASABAH LEMAK TERSAYANG ❤️❤️❤️

Biar weekend nya makin enak, mending rebahan di rumah sambil pesen @nasgortiarbah kemayoran 😋😋😋

Gofood ✅
Grabfood ✅
Shopeefood ✅","happy weekend nasabah lemak tersayang ❤️❤️❤️

biar weekend nya makin enak, mending rebahan di rumah sambil pesen @nasgortiarbah kemayoran 😋😋😋

gofood ✅
grabfood ✅
shopeefood ✅",happy weekend nasabah lemak tersayang biar weekend nya makin enak mending rebahan di rumah sambil pesen kemayoran gofood grabfood shopeefood
"@kalonginsomnia shopeefood aja lebih asik, cman martabak ga jual jam segini disini huhu adanya malem","@kalonginsomnia shopeefood aja lebih asik, cman martabak ga jual jam segini disini huhu adanya malem",shopeefood aja lebih asik cman martabak ga jual jam segini disini huhu adanya malem
"hampura neng ieu mah akang can bisa ngalongok bari mawa bengbeng sa dus
top sakintal, komo martabak spesial mah

#ngebid #shopeefood https://t.co/tpkduDeOiv","hampura neng ieu mah akang can bisa ngalongok bari mawa bengbeng sa dus
top sakintal, komo martabak spesial mah

#ngebid #shopeefood https://t.co/tpkdudeoiv",hampura neng ieu mah akang can bisa ngalongok bari mawa bengbeng sa dus top sakintal komo martabak spesial mah
@RacunBelanja semenjak ada shopeefood gojek grab gw unins ckck pengen beli ini mager banget install gojek lagi ckck,@racunbelanja semenjak ada shopeefood gojek grab gw unins ckck pengen beli ini mager banget install gojek lagi ckck,semenjak ada shopeefood gojek grab gw unins ckck pengen beli ini mager banget install gojek lagi ckck
"Kembali ke scroll scroll gofood grabfood shopeefood aja terus tapi ndak mood makan. 

Gitu terus sampe nanti sore.","kembali ke scroll scroll gofood grabfood shopeefood aja terus tapi ndak mood makan. 

gitu terus sampe nanti sore.",kembali ke scroll scroll gofood grabfood shopeefood aja terus tapi ndak mood makan gitu terus sampe nanti sore
"Seberapa gak gunanya kegiatan lo dihari weekend?
Gue scroll shopeefood berjam-jam tp gak ada yg di checkout","seberapa gak gunanya kegiatan lo dihari weekend?
gue scroll shopeefood berjam-jam tp gak ada yg di checkout",seberapa gak gunanya kegiatan lo dihari weekend gue scroll shopeefood berjamjam tp gak ada yg di checkout
"andai aku nagita slavina, mo pesen shopeefood pasti ga nunggu voucher promo dulu🤣","andai aku nagita slavina, mo pesen shopeefood pasti ga nunggu voucher promo dulu🤣",andai aku nagita slavina mo pesen shopeefood pasti ga nunggu voucher promo dulu
Bj takde coffee ke aduh kena game dgn ShopeeFood,bj takde coffee ke aduh kena game dgn shopeefood,bj takde coffee ke aduh kena game dgn shopeefood
"pesanan @shopeefood_id  gak datang uang hilang lah dan pesanan gak datang. 

lalu cs @ShopeeID menyerah dan minta email sebagai prosedur yang saya sudah hapal banget. 

Drivernya? 
keberatan... duitnya gak mau dibalikin. 
yang penting dia dapat feenya.","pesanan @shopeefood_id  gak datang uang hilang lah dan pesanan gak datang. 

lalu cs @shopeeid menyerah dan minta email sebagai prosedur yang saya sudah hapal banget. 

drivernya? 
keberatan... duitnya gak mau dibalikin. 
yang penting dia dapat feenya.",pesanan id gak datang uang hilang lah dan pesanan gak datang lalu cs menyerah dan minta email sebagai prosedur yang saya sudah hapal banget drivernya keberatan duitnya gak mau dibalikin yang penting dia dapat feenya
"pesanan yang kedua @shopeefood_id  pagi-pagi ini driver klik sudah di resto. apa yang terjadi setelah stgh jam nunggu? driver chat baru nemu toko, tokonya tutup...

WHAT T---

Minta saya batalin? ya gak bisa. saya chat cs @ShopeeID  LAMA BANGET PROSEDURNYA....
AKHIRNYA APA?","pesanan yang kedua @shopeefood_id  pagi-pagi ini driver klik sudah di resto. apa yang terjadi setelah stgh jam nunggu? driver chat baru nemu toko, tokonya tutup...

what t---

minta saya batalin? ya gak bisa. saya chat cs @shopeeid  lama banget prosedurnya....
akhirnya apa?",pesanan yang kedua id pagipagi ini driver klik sudah di resto apa yang terjadi setelah stgh jam nunggu driver chat baru nemu toko tokonya tutup what t minta saya batalin ya gak bisa saya chat cs lama banget prosedurnya akhirnya apa
Baru kenal aja udah minta dikirimin ShopeeFood. Dasar mental pengemis! 😒🙃,baru kenal aja udah minta dikirimin shopeefood. dasar mental pengemis! 😒🙃,baru kenal aja udah minta dikirimin shopeefood dasar mental pengemis
"BEAR BOBBA LOWOKWARU

Boba Brown Sugar 13K #BigCup22oz
50% Disc #ShopeeFood #GrabFood #GoFood

🌐https://t.co/6fplAdGVlD

#InfoKulinerMalang
#LaporLaper
#KulinerHitsMalang
#MalangCulinary
#MalangKuliner
#BobaMalang
#KopiMalang 
#EsTehMalang
#MojitoMalang
#Grab
#GoJek
#Shopee
#BTS https://t.co/AHDAMR3pFL","bear bobba lowokwaru

boba brown sugar 13k #bigcup22oz
50% disc #shopeefood #grabfood #gofood

🌐https://t.co/6fpladgvld

#infokulinermalang
#laporlaper
#kulinerhitsmalang
#malangculinary
#malangkuliner
#bobamalang
#kopimalang 
#estehmalang
#mojitomalang
#grab
#gojek
#shopee
#bts https://t.co/ahdamr3pfl",bear bobba lowokwaru boba brown sugar k disc
"@uchiha201 Buka di google, ""cara daftar jadi shopeefood driver""","@uchiha201 buka di google, ""cara daftar jadi shopeefood driver""",buka di google cara daftar jadi shopeefood driver
"@nnirwansyah Buka aja google, ""cara daftar shopeefood driver""","@nnirwansyah buka aja google, ""cara daftar shopeefood driver""",buka aja google cara daftar shopeefood driver
[Askrl] rata2 penghasilan driver shopeefood berapa ya sehari,[askrl] rata2 penghasilan driver shopeefood berapa ya sehari,askrl rata penghasilan driver shopeefood berapa ya sehari
Jog rata2 penghasilan driver shopeefood berapa ya sehari,jog rata2 penghasilan driver shopeefood berapa ya sehari,jog rata penghasilan driver shopeefood berapa ya sehari
"Jiakh, shopeefood dah ada akhirnya","jiakh, shopeefood dah ada akhirnya",jiakh shopeefood dah ada akhirnya
"Nasib baik Erna kabo tentang ShopeeFood. Setidaknya boleh klaim penghantaran percuma, jadi aku cuma bayar harga makanan jelah. Kalau takdo baucer, aku rela makan makanan kafe.","nasib baik erna kabo tentang shopeefood. setidaknya boleh klaim penghantaran percuma, jadi aku cuma bayar harga makanan jelah. kalau takdo baucer, aku rela makan makanan kafe.",nasib baik erna kabo tentang shopeefood setidaknya boleh klaim penghantaran percuma jadi aku cuma bayar harga makanan jelah kalau takdo baucer aku rela makan makanan kafe
