,Created_At,Tweets
112,2021-10-16 10:11:03+00:00,baru tau voucher syopifud bisa dobel jir tau gitu drdulu aja pake 2-2nya🙃
113,2021-10-16 10:03:54+00:00,@mantanjohnny @TimpalBali udaah ada syopifud kaakk
114,2021-10-16 09:42:13+00:00,"Planning ku habis ini mau mandi terus mau dinein mekdi,semogaaa bukann syopifud terus yg nyamperin aku🙈🙈"
115,2021-10-16 09:37:55+00:00,"Buka2 gofud &amp; syopifud, lama...

Ujung2nya
Dahlah ke indomart aja beli indomi sama sedap kare spesial 😂🤣😂🤣😂🤣😂🤣😂"
116,2021-10-16 07:01:14+00:00,@minewithmine mc flurry matcha di syopifud 15.5k 👍
117,2021-10-16 05:01:51+00:00,"kenapa di sini blm tersedia syopifud sih, pen ke jogja aja deh wkwk"
118,2021-10-15 19:00:52+00:00,@nico_apri Syopifud gan
119,2021-10-15 15:02:11+00:00,Makasiiii abang syopifud 😍 https://t.co/XiGxvE5IV5
120,2021-10-15 15:00:08+00:00,"@miriparab Yaallah iki mamamku ben awan pas istirahat kerjo, ngandalno promo syopifud 😭"
121,2021-10-15 14:59:49+00:00,berpacu dg waktu bgt pesen syopifud jam segini🥲
122,2021-10-15 14:58:54+00:00,"sbg org yg mageran, pgn makan murah, wajib manfaatiin syopifud, grabfood, gofood. kl sendirian di rumah, males masak, sehari bisa cuma abis 8ribu, 2x makan nasi bebek🤣 https://t.co/xJEvJzziTM"
123,2021-10-15 14:23:13+00:00,"Tadi tuh aku buka grab, niatnya mau orderin buat si Mas karena doi seneng banget donat, udah 5 hari juga dia ga nafsu makan, eeeeh kok grabnya dipake dari sini ga ngedetect alamat yang di Surabaya 😑 pdhl kemaren orderin kopi dari syopifud bisa, pake gofud juga bisa hmmm. Sebel. https://t.co/Gy1zAABn2D"
124,2021-10-15 12:56:25+00:00,kaulah yg kunanti pak driver syopifud 😇 https://t.co/GSz8DLty8R
125,2021-10-15 11:24:07+00:00,LAWAK BANGET DAH AUTOCORRECT NGOMONG KE SYOPIFUD DRIVER TERIMA KASIH NGAPA TERIMA KISS😭😭😭😭😭😭😭
126,2021-10-15 11:11:17+00:00,"@tubirfess Helo Jogja, cobain deh Spicy Chicken wonton dan Mie nya laperisme. Bisa pilih level pedas dan pastinya murah meriah puasss.

Bisa kirim keluar kota juga ya wontonnya. Available di Grabfud, Gofud dan Syopifud namanya Laperisme 🤤 https://t.co/RbM2MwW05C"
127,2021-10-15 10:42:30+00:00,"Gila y syopifud, murah pisannn. Mana voucher bisa dipake 2 2nya dalam 1 pesenan (toko sama gratis ongkir) introvert bahagia karna gaperlu melipir2 beli makanan di luar 🤣🤣"
128,2021-10-15 09:27:12+00:00,subway masuk syopifud ga si? mau coba tp maunya diskon
129,2021-10-15 06:36:39+00:00,"wts voucher shopeefud diskon 100% 25k minbel 40k (pengguna baru syopifud), ada jg yg 60% 25k dan 50% 18k. 

fee 2k ajaa 😉

#zonaba #zonauang https://t.co/eHH7hBgEfa"
130,2021-10-15 06:36:35+00:00,"@shalzpt pake syopifud ajaa , free ongkirr"
131,2021-10-15 05:44:21+00:00,"menyedihkan skl td order syopifud kukira spare 30 menit cukup, ternyata antri banyak bgt sampe 1 jam :"") yh gjd"
132,2021-10-15 04:30:48+00:00,"syopifud sm gofud promonya beda tipis bgt, 90 perak wkwk"
133,2021-10-15 00:16:43+00:00,@nissamaliaa Gk liat syopifud tbtb bangun yg di otakku hanya boba
134,2021-10-14 15:55:22+00:00,"Laper banget malem-malem, akhirnya order syopifud. Met mam fess 😚 https://t.co/UJks40jU2Z"
135,2021-10-14 15:55:15+00:00,"Laper banget malem-malem, akhirnya order syopifud. Met mam fess 😚 https://t.co/GrN1t3Hd5O"
136,2021-10-14 15:51:13+00:00,"Laper banget malem-malem, akhirnya order syopifud. Met mam guis 😚 https://t.co/D1LLfv0VSs"
137,2021-10-14 15:20:20+00:00,"@bertanyarl harusnya si, kek grab atau gofud atau syopifud udah mau deket rumah si sebaiknya ya lngsng keluar. Kek aneh aja gua masa iya si tega bgt nunggu lama2 (?)"
138,2021-10-14 14:58:32+00:00,@americhangsub @autmnmelody @meloandblue shipnamenya soofad:( udh kayak syopifud 11 12
139,2021-10-14 14:50:14+00:00,"Lagi kepengen banget thai green tea kopken, trus pesen via syopifud tapi knp yg dateng malah thai tea🥴 https://t.co/K6mhrqw1sk"
140,2021-10-14 14:33:47+00:00,cilegon kapan ada syopifud sih ya allah aku iri https://t.co/VCKnHf6oN7
141,2021-10-14 13:54:39+00:00,"@minfaery HUHU BELOM ADA SYOPIFUD DI SINI KA AZRA, padahal kan pengen coba"
142,2021-10-14 13:52:52+00:00,@minfaery syopifud in aku kak
143,2021-10-14 13:52:12+00:00,capek bgt mending syopifud apa hari ini
144,2021-10-14 13:27:08+00:00,@moonareas daritadi scroll syopifud bingung mau makan apa
145,2021-10-14 13:14:09+00:00,@WAHYUYK_ Tim syopifud ni
